action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1010097,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CCCC/C=C/c1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112866,,CHEMBL2112866,5.73,0,http://www.openphacts.org/units/Nanomolar,285216,=,1,1,=,,IC50,nM,,1870.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,1870.0
,,1013713,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CCCC/C=C\c1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112007,,CHEMBL2112007,5.62,0,http://www.openphacts.org/units/Nanomolar,285215,=,1,1,=,,IC50,nM,,2400.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,2400.0
,,1021753,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,Nc1nc(I)nc2c1ncn2C1CC(OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL343651,,CHEMBL343651,7.06,0,http://www.openphacts.org/units/Nanomolar,285214,=,1,1,=,,IC50,nM,,87.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,87.0
,,1025402,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112864,,CHEMBL2112864,7.28,1,http://www.openphacts.org/units/Nanomolar,285221,=,1,1,=,,IC50,nM,,52.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,52.0
,,1026616,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1nc(I)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL444278,,CHEMBL444278,8.08,0,http://www.openphacts.org/units/Nanomolar,285224,=,1,1,=,,IC50,nM,,8.4,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,8.4
,,1473884,[],CHEMBL832660,Inhibition concentration required against human Y306F mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '13.61', 'le': '0.30', 'lle': '7.46', 'sei': '2.77'}",CHEMBL435402,,CHEMBL435402,6.44,0,http://www.openphacts.org/units/Nanomolar,381026,=,1,1,=,,IC50,nM,,360.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,360.0
,,1474016,[],CHEMBL830858,Inhibition concentration required against wild type strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]-MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '16.10', 'le': '0.36', 'lle': '8.64', 'sei': '3.28'}",CHEMBL435402,,CHEMBL435402,7.62,0,http://www.openphacts.org/units/Nanomolar,381026,=,1,1,=,,IC50,nM,,24.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,24.0
,,1474027,[],CHEMBL832377,Inhibition concentration required against human Y203A (EL2) mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1137222,J Med Chem,2004,,CHEMBL435402,,CHEMBL435402,,0,http://www.openphacts.org/units/Nanomolar,381026,>,1,1,>,,IC50,nM,,10000.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,10000.0
,,1474034,[],CHEMBL832656,Inhibition concentration required against human Y203F mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '13.91', 'le': '0.31', 'lle': '7.61', 'sei': '2.83'}",CHEMBL435402,,CHEMBL435402,6.58,0,http://www.openphacts.org/units/Nanomolar,381026,=,1,1,=,,IC50,nM,,260.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,260.0
,,1474146,[],CHEMBL832657,Inhibition concentration required against human Y273A mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]-MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '16.18', 'le': '0.36', 'lle': '8.68', 'sei': '3.29'}",CHEMBL435402,,CHEMBL435402,7.66,0,http://www.openphacts.org/units/Nanomolar,381026,=,1,1,=,,IC50,nM,,22.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,22.0
,,1474147,[],CHEMBL832658,Inhibition concentration required against human Y273F mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '15.63', 'le': '0.35', 'lle': '8.42', 'sei': '3.18'}",CHEMBL435402,,CHEMBL435402,7.40,0,http://www.openphacts.org/units/Nanomolar,381026,=,1,1,=,,IC50,nM,,40.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,40.0
,,1474148,[],CHEMBL832659,Inhibition concentration required against human Y306A mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '14.42', 'le': '0.32', 'lle': '7.84', 'sei': '2.93'}",CHEMBL435402,,CHEMBL435402,6.82,0,http://www.openphacts.org/units/Nanomolar,381026,=,1,1,=,,IC50,nM,,150.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,150.0
,,1474149,[],CHEMBL830858,Inhibition concentration required against wild type strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]-MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '15.70', 'le': '0.34', 'lle': '6.94', 'sei': '3.37'}",CHEMBL129841,,CHEMBL129841,6.68,0,http://www.openphacts.org/units/Nanomolar,381052,=,1,1,=,,IC50,nM,,210.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,210.0
,,1474150,[],CHEMBL832377,Inhibition concentration required against human Y203A (EL2) mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '14.42', 'le': '0.31', 'lle': '6.39', 'sei': '3.09'}",CHEMBL129841,,CHEMBL129841,6.13,0,http://www.openphacts.org/units/Nanomolar,381052,=,1,1,=,,IC50,nM,,740.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,740.0
,,1474151,[],CHEMBL832656,Inhibition concentration required against human Y203F mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '15.24', 'le': '0.33', 'lle': '6.74', 'sei': '3.27'}",CHEMBL129841,,CHEMBL129841,6.48,1,http://www.openphacts.org/units/Nanomolar,381052,=,1,1,=,,IC50,nM,,330.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,330.0
,,1474152,[],CHEMBL832657,Inhibition concentration required against human Y273A mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]-MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '14.86', 'le': '0.32', 'lle': '6.58', 'sei': '3.19'}",CHEMBL129841,,CHEMBL129841,6.32,0,http://www.openphacts.org/units/Nanomolar,381052,=,1,1,=,,IC50,nM,,480.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,480.0
,,1474153,[],CHEMBL832658,Inhibition concentration required against human Y273F mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '14.53', 'le': '0.31', 'lle': '6.44', 'sei': '3.12'}",CHEMBL129841,,CHEMBL129841,6.18,0,http://www.openphacts.org/units/Nanomolar,381052,=,1,1,=,,IC50,nM,,660.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,660.0
,,1474154,[],CHEMBL832659,Inhibition concentration required against human Y306A mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '15.27', 'le': '0.33', 'lle': '6.75', 'sei': '3.27'}",CHEMBL129841,,CHEMBL129841,6.50,0,http://www.openphacts.org/units/Nanomolar,381052,=,1,1,=,,IC50,nM,,320.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,320.0
,,1474155,[],CHEMBL832660,Inhibition concentration required against human Y306F mutant strain P2Y1 receptor expressed in COS-7 cells is determined using [3H]MRS2279 as radioligand,B,,,BAO_0000190,BAO_0000219,cell-based format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,,,CHEMBL1137222,J Med Chem,2004,"{'bei': '14.13', 'le': '0.30', 'lle': '6.27', 'sei': '3.03'}",CHEMBL129841,,CHEMBL129841,6.01,0,http://www.openphacts.org/units/Nanomolar,381052,=,1,1,=,,IC50,nM,,980.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,980.0
,,1610565,[],CHEMBL872179,Inhibitory concentration against P2Y purinoceptor 1 expressed in 1321N1 astrocytoma Cells; (n=3),B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1)Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1140384,J Med Chem,2005,,CHEMBL413145,,CHEMBL1207514,,0,http://www.openphacts.org/units/Nanomolar,403192,=,1,1,=,,IC50,nM,,1819700.86,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,Log IC50,,UO_0000065,,-2.74
,,1905969,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(I)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL227235,,CHEMBL227235,6.10,0,http://www.openphacts.org/units/Nanomolar,644057,=,1,1,=,,IC50,nM,,790.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,790.0
,,1905970,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(Cl)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL153254,,CHEMBL153254,6.21,0,http://www.openphacts.org/units/Nanomolar,644056,=,1,1,=,,IC50,nM,,620.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,620.0
,,1905971,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(I)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(CO)C[C@H]12,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL375022,,CHEMBL375022,5.81,0,http://www.openphacts.org/units/Nanomolar,644055,=,1,1,=,,IC50,nM,,1560.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,1560.0
,,1905972,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(-c2ccccc2)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL435930,,CHEMBL435930,5.71,0,http://www.openphacts.org/units/Nanomolar,644054,=,1,1,=,,IC50,nM,,1940.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,1940.0
,,1905973,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,C#Cc1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL390149,,CHEMBL390149,7.03,0,http://www.openphacts.org/units/Nanomolar,644053,=,1,1,=,,IC50,nM,,93.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,93.0
,,1905974,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(C(=O)O)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL226857,,CHEMBL226857,6.06,0,http://www.openphacts.org/units/Nanomolar,644052,=,1,1,=,,IC50,nM,,870.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,870.0
,,1905975,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(C(N)=O)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL226807,,CHEMBL226807,5.76,0,http://www.openphacts.org/units/Nanomolar,644051,=,1,1,=,,IC50,nM,,1750.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,1750.0
,,1905976,[],CHEMBL888517,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-induced inositol phosphate formation,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(C#N)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL375682,,CHEMBL375682,5.16,0,http://www.openphacts.org/units/Nanomolar,644050,=,1,1,=,,IC50,nM,,6900.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,6900.0
,,1905977,[],CHEMBL888518,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-stimulated PLC activity,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(C#N)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL375682,,CHEMBL375682,5.16,0,http://www.openphacts.org/units/Nanomolar,644050,=,1,1,=,,IC50,nM,,6918.31,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,Log IC50,,UO_0000065,,-5.16
,,1905978,[],CHEMBL888518,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-stimulated PLC activity,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(I)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL227235,,CHEMBL227235,6.10,0,http://www.openphacts.org/units/Nanomolar,644057,=,1,1,=,,IC50,nM,,794.33,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,Log IC50,,UO_0000065,,-6.1
,,1905979,[],CHEMBL888518,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-stimulated PLC activity,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(Cl)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL153254,,CHEMBL153254,6.21,0,http://www.openphacts.org/units/Nanomolar,644056,=,1,1,=,,IC50,nM,,616.6,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,Log IC50,,UO_0000065,,-6.21
,,1905980,[],CHEMBL888518,Antagonist activity at human P2Y1 receptor expressed in 1321N1 cells assessed as inhibition of 2-MeS-ADP-stimulated PLC activity,F,,,BAO_0000190,BAO_0000219,cell-based format,CNc1nc(I)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(CO)C[C@H]12,,,CHEMBL1145411,J Med Chem,2007,,CHEMBL375022,,CHEMBL375022,5.81,0,http://www.openphacts.org/units/Nanomolar,644055,=,1,1,=,,IC50,nM,,1548.82,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,Log IC50,,UO_0000065,,-5.81
